operateur;annee;filiere;code_categorie_consommation;libelle_categorie_consommation;code_grand_secteur;libelle_grand_secteur;code_naf;libelle_secteur_naf2;conso;pdl;indqual;nombre_mailles_secretisees;code_region;libelle_region
Energies Services Lavaur;2020;Electricité;ENT;Entreprises;I;Industrie;18;Imprimerie et reproduction d'enregistrements;1476.0;1;0.9;0;76;Occitanie
Energies Services Lavaur;2020;Electricité;ENT;Entreprises;I;Industrie;25;Fabrication de produits métalliques, à l'exception des machines et des équipements;201.0;2;0.9;0;76;Occitanie
Energies Services Lavaur;2020;Electricité;ENT;Entreprises;T;Tertiaire;36;Captage, traitement et distribution d'eau;632.0;1;0.9;0;76;Occitanie
Energies Services Lavaur;2020;Electricité;ENT;Entreprises;T;Tertiaire;46;Commerce de gros, à l'exception des automobiles et des motocycles;5134.0;7;0.9;0;76;Occitanie
Energies Services Lavaur;2020;Electricité;ENT;Entreprises;T;Tertiaire;64;Activités des services financiers, hors assurance et caisses de retraite;172.0;2;0.9;0;76;Occitanie
Energies Services Lavaur;2020;Electricité;ENT;Entreprises;T;Tertiaire;87;Hébergement médico-social et social;190.0;3;0.9;0;76;Occitanie
Energies Services Lavaur;2020;Electricité;ENT;Entreprises;T;Tertiaire;93;Activités sportives, récréatives et de loisirs;36.0;1;0.9;0;76;Occitanie
Energies Services Lavaur;2020;Electricité;PRO;Petits professionels;A;Agriculture;;0;452.0;53;0.5;0;76;Occitanie
Energis;2020;Electricité;ENT;Entreprises;I;Industrie;13;Fabrication de textiles;1545.0;5;1.0;0;44;Grand Est
Energis;2020;Electricité;ENT;Entreprises;I;Industrie;20;Industrie chimique;11008.0;8;1.0;0;44;Grand Est
Energis;2020;Electricité;ENT;Entreprises;I;Industrie;35;Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné;147.0;2;1.0;0;44;Grand Est
Energis;2020;Electricité;ENT;Entreprises;I;Industrie;42;Génie civil;50.0;1;1.0;0;44;Grand Est
Energis;2020;Electricité;ENT;Entreprises;I;Industrie;43;Travaux de construction spécialisés;72.0;2;1.0;0;44;Grand Est
Energis;2020;Electricité;ENT;Entreprises;T;Tertiaire;49;Transports terrestres et transport par conduites;506.0;4;1.0;0;44;Grand Est
Energis;2020;Electricité;ENT;Entreprises;T;Tertiaire;70;"Activités des sièges sociaux ; conseil de gestion";89.0;1;1.0;0;44;Grand Est
Energis;2020;Electricité;ENT;Entreprises;T;Tertiaire;71;"Activités d'architecture et d'ingénierie ; activités de contrôle et analyses techniques";64.0;1;1.0;0;44;Grand Est
Energis;2020;Electricité;ENT;Entreprises;T;Tertiaire;73;Publicité et études de marché;143.0;1;1.0;0;44;Grand Est
Energis;2020;Electricité;ENT;Entreprises;T;Tertiaire;85;Enseignement;2255.0;11;1.0;0;44;Grand Est
Energis;2020;Electricité;ENT;Entreprises;T;Tertiaire;96;Autres services personnels;60.0;2;1.0;0;44;Grand Est
Energis;2020;Electricité;PRO;Petits professionels;I;Industrie;;0;797.0;76;1.0;0;44;Grand Est
Gascogne Energies Services;2020;Electricité;ENT;Entreprises;X;Secteur Inconnu;;0;14422.405;64;1.0;0;75;Nouvelle-Aquitaine
GÉRÉDIS;2020;Electricité;ENT;Entreprises;A;Agriculture;1;0;57059.222;601;0.95;0;75;Nouvelle-Aquitaine
GÉRÉDIS;2020;Electricité;ENT;Entreprises;A;Agriculture;2;0;1412.275;10;0.95;0;75;Nouvelle-Aquitaine
GÉRÉDIS;2020;Electricité;ENT;Entreprises;I;Industrie;13;Fabrication de textiles;494.199;4;0.95;0;75;Nouvelle-Aquitaine
GÉRÉDIS;2020;Electricité;ENT;Entreprises;I;Industrie;17;Industrie du papier et du carton;4478.328;5;0.95;0;75;Nouvelle-Aquitaine
GÉRÉDIS;2020;Electricité;ENT;Entreprises;I;Industrie;24;Métallurgie;6175.418;6;0.95;0;75;Nouvelle-Aquitaine
GÉRÉDIS;2020;Electricité;ENT;Entreprises;I;Industrie;27;Fabrication d'équipements électriques;6604.521;7;0.95;0;75;Nouvelle-Aquitaine
GÉRÉDIS;2020;Electricité;ENT;Entreprises;I;Industrie;28;Fabrication de machines et équipements n.c.a.;9669.103;24;0.95;0;75;Nouvelle-Aquitaine
GÉRÉDIS;2020;Electricité;ENT;Entreprises;I;Industrie;31;Fabrication de meubles;8195.096;18;0.95;0;75;Nouvelle-Aquitaine
GÉRÉDIS;2020;Electricité;ENT;Entreprises;T;Tertiaire;38;"Collecte, traitement et élimination des déchets ; récupération";1454.777;12;0.95;0;75;Nouvelle-Aquitaine
GÉRÉDIS;2020;Electricité;ENT;Entreprises;T;Tertiaire;52;Entreposage et services auxiliaires des transports;16069.08;26;0.95;0;75;Nouvelle-Aquitaine
GÉRÉDIS;2020;Electricité;ENT;Entreprises;T;Tertiaire;53;Activités de poste et de courrier;317.736;2;0.95;0;75;Nouvelle-Aquitaine
GÉRÉDIS;2020;Electricité;ENT;Entreprises;T;Tertiaire;55;Hébergement;3777.12;32;0.95;0;75;Nouvelle-Aquitaine
GÉRÉDIS;2020;Electricité;ENT;Entreprises;T;Tertiaire;61;Télécommunications;1293.464;9;0.95;0;75;Nouvelle-Aquitaine
GÉRÉDIS;2020;Electricité;ENT;Entreprises;T;Tertiaire;63;Services d'information;2296.58;3;0.95;0;75;Nouvelle-Aquitaine
GÉRÉDIS;2020;Electricité;ENT;Entreprises;T;Tertiaire;70;"Activités des sièges sociaux ; conseil de gestion";3975.623;17;0.95;0;75;Nouvelle-Aquitaine
GÉRÉDIS;2020;Electricité;ENT;Entreprises;T;Tertiaire;71;"Activités d'architecture et d'ingénierie ; activités de contrôle et analyses techniques";705.25;14;0.95;0;75;Nouvelle-Aquitaine
GÉRÉDIS;2020;Electricité;ENT;Entreprises;T;Tertiaire;73;Publicité et études de marché;226.092;2;0.95;0;75;Nouvelle-Aquitaine
GÉRÉDIS;2020;Electricité;ENT;Entreprises;T;Tertiaire;82;Activités administratives et autres activités de soutien aux entreprises;18135.502;20;0.95;0;75;Nouvelle-Aquitaine
GÉRÉDIS;2020;Electricité;ENT;Entreprises;T;Tertiaire;88;Action sociale sans hébergement;2056.702;16;0.95;0;75;Nouvelle-Aquitaine
GÉRÉDIS;2020;Electricité;ENT;Entreprises;T;Tertiaire;93;Activités sportives, récréatives et de loisirs;989.856;16;0.95;0;75;Nouvelle-Aquitaine
GÉRÉDIS;2020;Electricité;PRO;Petits professionels;A;Agriculture;;0;50294.554;3794;0.95;0;75;Nouvelle-Aquitaine
GÉRÉDIS;2020;Electricité;PRO;Petits professionels;I;Industrie;;0;6276.612;328;0.95;0;75;Nouvelle-Aquitaine
GÉRÉDIS;2020;Electricité;PRO;Petits professionels;X;Secteur Inconnu;;0;21921.867;2691;0.95;0;75;Nouvelle-Aquitaine
GreenAlp;2020;Electricité;ENT;Entreprises;I;Industrie;24;Métallurgie;12683.986;3;0.95;0;84;Auvergne-Rhône-Alpes
GreenAlp;2020;Electricité;ENT;Entreprises;I;Industrie;26;Fabrication de produits informatiques, électroniques et optiques;2789.34;4;0.95;0;84;Auvergne-Rhône-Alpes
